公司全名,公司规模,职位名称,薪资水平,工作经验,学历要求,区域,职位福利
贝壳,2000人以上,测试开发工程师,30k-50k,3-5年,本科,海淀区,"15薪,大平台,三餐免费,健身房"
智飞云科,50-150人,测试开发工程师,13k-18k,1-3年,本科,海淀区,弹性工作、工作氛围好、福利诱惑、垂直发展
好未来,2000人以上,测试开发工程师,15k-30k,3-5年,大专,海淀区,"扁平化管理,免费晚餐,打车报销,弹性工作制"
金山云,500-2000人,测试开发工程师,20k-40k,3-5年,本科,海淀区,中国前三，包三餐，下午茶，免费公交
闪银奇异,500-2000人,测试开发工程师,20k-40k,3-5年,本科,朝阳区,六险一金，扁平化管理
玖富集团,2000人以上,测试开发工程师,15k-25k,3-5年,本科,朝阳区,"班车接送,薪资福利好,六险一金,大牛团队"
Moka,50-150人,测试开发工程师,20k-30k,3-5年,本科,海淀区,"上升空间大,团队强,福利好"
省钱快报,150-500人,测试开发工程师,20k-30k,3-5年,本科,东城区,"每日三餐,百万日活,弹性工作,扁平管理"
Face++,500-2000人,测试开发工程师,15k-25k,3-5年,本科,海淀区,极客范
OKCoin,500-2000人,测试开发工程师,15k-30k,3-5年,本科,海淀区,"技术型,氛围好,福利多"
畅聊天下,150-500人,测试开发工程师,15k-25k,1-3年,本科,海淀区,"B+轮,IPO,绩效和年终,晋升机会多"
百融金服,500-2000人,测试开发工程师,10k-20k,应届毕业生,本科,海淀区,"年底双薪,带薪年假,年度旅游,绩效奖励"
OKAY智慧教育,150-500人,测试开发工程师,15k-30k,3-5年,大专,海淀区,"领导nic,扁平化管理"
花椒直播,150-500人,测试开发工程师,15k-30k,1-3年,本科,朝阳区,"完善的福利,竞争力待遇,技术氛围好"
美篇,50-150人,测试开发工程师,20k-40k,5-10年,本科,海淀区,"亿级用户量,高薪高福利,超扁平管理,团队氛围好"
贝壳,2000人以上,测试开发工程师,20K-40K,1-3年,本科,海淀区,"15薪,13天年假,免费三餐,逢节必过"
闪银奇异,500-2000人,测试开发工程师,25k-30k,3-5年,本科,朝阳区,薪酬福利好 金融科技独角兽 发展稳健快速
Face++,500-2000人,测试开发工程师,20k-35k,3-5年,本科,海淀区,"机会多,人工智能,不打卡"
远弗科技,50-150人,测试开发工程师,20k-30k,3-5年,本科,朝阳区,薪酬高、氛围好，成长快。
EasyStack,150-500人,测试开发工程师,15k-22k,1-3年,本科,海淀区,C轮融资，发展前景好，老板Nice
