公司全名,公司规模,职位名称,薪资水平,工作经验,学历要求,区域,职位福利,工作年限,经验,salary,月工资
贝壳,2000人以上,测试开发工程师,30k-50k,3-5年,本科,海淀区,"15薪,大平台,三餐免费,健身房","['3', '5']",4.0,"['30', '50']",35.0
智飞云科,50-150人,测试开发工程师,13k-18k,1-3年,本科,海淀区,弹性工作、工作氛围好、福利诱惑、垂直发展,"['1', '3']",2.0,"['13', '18']",14.25
好未来,2000人以上,测试开发工程师,15k-30k,3-5年,大专,海淀区,"扁平化管理,免费晚餐,打车报销,弹性工作制","['3', '5']",4.0,"['15', '30']",18.75
金山云,500-2000人,测试开发工程师,20k-40k,3-5年,本科,海淀区,中国前三，包三餐，下午茶，免费公交,"['3', '5']",4.0,"['20', '40']",25.0
闪银奇异,500-2000人,测试开发工程师,20k-40k,3-5年,本科,朝阳区,六险一金，扁平化管理,"['3', '5']",4.0,"['20', '40']",25.0
玖富集团,2000人以上,测试开发工程师,15k-25k,3-5年,本科,朝阳区,"班车接送,薪资福利好,六险一金,大牛团队","['3', '5']",4.0,"['15', '25']",17.5
Moka,50-150人,测试开发工程师,20k-30k,3-5年,本科,海淀区,"上升空间大,团队强,福利好","['3', '5']",4.0,"['20', '30']",22.5
省钱快报,150-500人,测试开发工程师,20k-30k,3-5年,本科,东城区,"每日三餐,百万日活,弹性工作,扁平管理","['3', '5']",4.0,"['20', '30']",22.5
Face++,500-2000人,测试开发工程师,15k-25k,3-5年,本科,海淀区,极客范,"['3', '5']",4.0,"['15', '25']",17.5
OKCoin,500-2000人,测试开发工程师,15k-30k,3-5年,本科,海淀区,"技术型,氛围好,福利多","['3', '5']",4.0,"['15', '30']",18.75
畅聊天下,150-500人,测试开发工程师,15k-25k,1-3年,本科,海淀区,"B+轮,IPO,绩效和年终,晋升机会多","['1', '3']",2.0,"['15', '25']",17.5
百融金服,500-2000人,测试开发工程师,10k-20k,应届毕业生,本科,海淀区,"年底双薪,带薪年假,年度旅游,绩效奖励",[],0.0,"['10', '20']",12.5
OKAY智慧教育,150-500人,测试开发工程师,15k-30k,3-5年,大专,海淀区,"领导nic,扁平化管理","['3', '5']",4.0,"['15', '30']",18.75
花椒直播,150-500人,测试开发工程师,15k-30k,1-3年,本科,朝阳区,"完善的福利,竞争力待遇,技术氛围好","['1', '3']",2.0,"['15', '30']",18.75
美篇,50-150人,测试开发工程师,20k-40k,5-10年,本科,海淀区,"亿级用户量,高薪高福利,超扁平管理,团队氛围好","['5', '10']",7.5,"['20', '40']",25.0
贝壳,2000人以上,测试开发工程师,20K-40K,1-3年,本科,海淀区,"15薪,13天年假,免费三餐,逢节必过","['1', '3']",2.0,"['20', '40']",25.0
闪银奇异,500-2000人,测试开发工程师,25k-30k,3-5年,本科,朝阳区,薪酬福利好 金融科技独角兽 发展稳健快速,"['3', '5']",4.0,"['25', '30']",26.25
Face++,500-2000人,测试开发工程师,20k-35k,3-5年,本科,海淀区,"机会多,人工智能,不打卡","['3', '5']",4.0,"['20', '35']",23.75
远弗科技,50-150人,测试开发工程师,20k-30k,3-5年,本科,朝阳区,薪酬高、氛围好，成长快。,"['3', '5']",4.0,"['20', '30']",22.5
EasyStack,150-500人,测试开发工程师,15k-22k,1-3年,本科,海淀区,C轮融资，发展前景好，老板Nice,"['1', '3']",2.0,"['15', '22']",16.75
币市BISS,15-50人,测试开发工程师,25k-40k,3-5年,本科,朝阳区,区块链新赛道，氛围好牛人多，发展潜力高,"['3', '5']",4.0,"['25', '40']",28.75
生命奇点,50-150人,测试开发工程师,15k-25k,不限,本科,海淀区,"发展空间大,项目前景好,团队氛围好,技术导向",[],0.0,"['15', '25']",17.5
右划,150-500人,测试开发工程师,30k-50k,3-5年,本科,朝阳区,"短视频,大牛云集,工程师文化,一年15薪","['3', '5']",4.0,"['30', '50']",35.0
阿里健康,150-500人,测试开发工程师,20k-40k,5-10年,本科,朝阳区,医疗行业,"['5', '10']",7.5,"['20', '40']",25.0
北京和风畅想科技有限公司,15-50人,测试开发工程师,20k-40k,1-3年,本科,朝阳区,"行业前景好,个人成长快,团队氛围佳,薪资丰厚","['1', '3']",2.0,"['20', '40']",25.0
便利蜂,2000人以上,测试开发工程师(J11970),20k-40k,3-5年,本科,朝阳区,机会多多,"['3', '5']",4.0,"['20', '40']",25.0
易到用车,500-2000人,测试开发工程师,15k-25k,3-5年,本科,东城区,年底双薪 弹性上班,"['3', '5']",4.0,"['15', '25']",17.5
投中信息,150-500人,测试开发工程师,20k-35k,3-5年,本科,东城区,"行业领先,六险一金,多种福利,领导好","['3', '5']",4.0,"['20', '35']",23.75
字节跳动,2000人以上,测试开发工程师-广告系统,20k-40k,应届毕业生,本科,海淀区,六险一金，弹性工作，免费三餐，租房补贴,[],0.0,"['20', '40']",25.0
伴鱼口语,500-2000人,测试开发工程师(J10007),30k-45k,3-5年,本科,朝阳区,"产品牛,氛围好,团队好,福利高","['3', '5']",4.0,"['30', '45']",33.75
贝壳,2000人以上,测试开发工程师,18k-30k,3-5年,本科,海淀区,六险二金，带薪年假,"['3', '5']",4.0,"['18', '30']",21.0
字节跳动,2000人以上,测试开发工程师-校招,20k-26k,应届毕业生,本科,海淀区,六险一金，弹性工作，免费三餐，租房补贴,[],0.0,"['20', '26']",21.5
凯叔讲故事,150-500人,测试开发工程师,20k-30k,1-3年,本科,朝阳区,"高薪,高福利","['1', '3']",2.0,"['20', '30']",22.5
绿湾,150-500人,测试开发工程师,20k-30k,3-5年,本科,海淀区,"成长空间,团队氛围,开放,分享","['3', '5']",4.0,"['20', '30']",22.5
Aibee,50-150人,测试开发工程师,15k-30k,3-5年,本科,海淀区,"技术大牛,创业氛围,福利丰厚","['3', '5']",4.0,"['15', '30']",18.75
Momenta,150-500人,测试开发工程师-北京,25k-45k,不限,硕士,海淀区,一日三餐、免费健身房、自动驾驶独角兽,[],0.0,"['25', '45']",30.0
爱奇艺,2000人以上,校招-测试开发工程师,10k-20k,应届毕业生,本科,海淀区,成长快,[],0.0,"['10', '20']",12.5
北京和风畅想科技有限公司,15-50人,测试开发工程师-区块链方向,20k-40k,1-3年,本科,朝阳区,"行业前景好,技术实力强,环境宽松","['1', '3']",2.0,"['20', '40']",25.0
去哪儿网,2000人以上,测试开发工程师-市场营销部(J12874),15k-25k,1-3年,本科,海淀区,氛围好,"['1', '3']",2.0,"['15', '25']",17.5
松果出行,150-500人,资深测试开发工程师,25k-50k,5-10年,本科,朝阳区,成长空间大，节日福利，五险一金，员工体检,"['5', '10']",7.5,"['25', '50']",31.25
商汤科技,2000人以上,高级测试开发工程师,20k-40k,3-5年,本科,海淀区,薪酬福利好、技术大牛多、发展快、核心团队,"['3', '5']",4.0,"['20', '40']",25.0
Face++,500-2000人,高级测试开发工程师,20k-35k,5-10年,本科,海淀区,"大牛多,挑战大","['5', '10']",7.5,"['20', '35']",23.75
伴鱼口语,500-2000人,测试开发-leader,30k-60k,5-10年,本科,朝阳区,"产品牛,氛围好,空间大,福利高","['5', '10']",7.5,"['30', '60']",37.5
微聚未来,500-2000人,高级测试开发工程师,15k-25k,3-5年,不限,海淀区,"牛人团队,带薪年假,16薪考核,快速成长","['3', '5']",4.0,"['15', '25']",17.5
有利网,2000人以上,测试开发工程师,20k-35k,3-5年,本科,海淀区,"公司环境好,薪资优厚,团队稳定","['3', '5']",4.0,"['20', '35']",23.75
贝壳,2000人以上,高级测试开发工程师,20k-40k,3-5年,本科,海淀区,"扁平管理,六险二金,免费三餐,弹性工作","['3', '5']",4.0,"['20', '40']",25.0
