公司全名,公司规模,职位名称,薪资水平,工作经验,学历要求,区域,职位福利
好未来,2000人以上,自动化测试工程师,15k-25k,3-5年,本科,海淀区,六险一金、年底双薪。提供晚餐、弹性工作
福佑卡车,500-2000人,自动化测试工程师,10k-20k,3-5年,本科,海淀区,"七险一金,绩效奖金,年底双薪,节日福利等"
Face++,500-2000人,自动化测试工程师,15k-25k,3-5年,本科,海淀区,"发展平台,公司行业,竞争力薪酬,福利多多"
Gridsum 国双,500-2000人,自动化测试工程师,15k-25k,3-5年,本科,海淀区,"大数据,上市公司,福利好,成长空间大"
印象笔记,50-150人,自动化测试工程师,15k-20k,3-5年,本科,朝阳区,"本地化团队,独角兽公司,核心产品"
人人网,2000人以上,自动化测试工程师,15k-25k,1-3年,本科,朝阳区,发展好 福利好
BJCA,500-2000人,自动化测试工程师,10k-20k,5-10年,本科,海淀区,"国企福利,上市企业,15薪,周末双休"
币市BISS,15-50人,自动化测试工程师,20k-30k,3-5年,本科,朝阳区,区块链新赛道，氛围好牛人多，发展潜力高
Symbio-Freeborders,2000人以上,自动化测试工程师,10k-20k,3-5年,本科,朝阳区,平台大 稳定 双休
唯医网,150-500人,自动化测试工程师,15k-25k,5-10年,本科,朝阳区,"好老板,年轻团队,培训成长快,福利待遇佳"
微聚未来,500-2000人,自动化测试工程师,10k-20k,1-3年,本科,海淀区,"牛人团队,带薪年假,16薪考核,快速成长"
玖富集团,2000人以上,自动化测试工程师,20k-40k,5-10年,本科,朝阳区,"年底奖金,弹性工作,工作居住证"
蔷薇控股,150-500人,自动化测试工程师,15k-30k,3-5年,本科,朝阳区,"股东背景强,薪资优渥,技术大牛多,工作环境好"
财新传媒,150-500人,自动化测试工程师,10k-15k,3-5年,本科,朝阳区,"五险一金,补充医疗,交通补贴,餐费补贴"
四方启点,150-500人,自动化测试开发工程师,17k-25k,1年以下,本科,海淀区,"福利好,待遇佳,地铁周边"
人人网,2000人以上,自动化测试工程师,15k-20k,3-5年,大专,朝阳区,"领导好,弹性工作"
好未来,2000人以上,自动化测试,15k-30k,3-5年,本科,海淀区,上市公司
V.FINE MUSIC,50-150人,自动化测试,12k-20k,1-3年,本科,朝阳区,带薪年假、节日福利、弹性工作
Majorsec,15-50人,高级自动化测试工程师,15k-25k,5-10年,本科,朝阳区,"晋升空间,扁平化管理,绩效奖金,期权奖励"
启迪云控,50-150人,高级自动化测试工程师,15k-25k,3-5年,本科,海淀区,"带薪年假,年底双薪,弹性工作,八险一金"
印象笔记,50-150人,高级自动化测试,15k-25k,5-10年,本科,朝阳区,"本地化团队,独角兽公司,核心产品"
商汤科技,2000人以上,自动化测试开发工程师,15k-30k,5-10年,本科,海淀区,"人工智能,独角兽企业,技术大牛多,工作氛围好"
京东集团,2000人以上,自动化测试工程师,18k-36k,5-10年,本科,朝阳区,14薪
INK 银客集团,500-2000人,自动化测试工程师,15k-25k,3-5年,本科,海淀区,"七险一金,绩效奖金,员工福利,弹性工作"
玩吧,150-500人,自动化测试工程师,15k-25k,3-5年,本科,东城区,"七险一金,季度旅游,弹性不打卡,免费午餐"
美团点评,2000人以上,自动化测试工程师,25k-40k,5-10年,本科,朝阳区,技术挑战
北大医信,500-2000人,自动化测试工程师,8k-16k,3-5年,本科,海淀区,"五险一金,商业保险,餐补,年终奖"
乐智才云,150-500人,自动化测试工程师,10k-15k,3-5年,不限,东城区,晋升空间比较大 公司前景很乐观
信链科技,150-500人,测试工程师（自动化测试）,10k-20k,3-5年,本科,朝阳区,纯互联网企业，技术强悍，氛围超nice！
京东物流,2000人以上,自动化测试工程师,20k-35k,5-10年,本科,大兴区,新业务 内部机会多
人人网,2000人以上,自动化测试,15k-30k,3-5年,本科,朝阳区,"氛围好,弹性工作"
好未来,2000人以上,功能、接口、自动化测试工程师,20k-30k,3-5年,本科,海淀区,"纽交所上市,在线教育,核心产研,直播产品"
INK 银客集团,500-2000人,自动化测试工程师,10k-20k,1-3年,本科,海淀区,"牛人团队,带薪年假,16薪考核,快速成长"
美团点评,2000人以上,自动化测试-无人机,20k-35k,3-5年,本科,朝阳区,免费班车
APUS Group,150-500人,自动化测试工程师,10k-20k,不限,本科,朝阳区,"六险一金,带薪年假,住房补贴,独角兽"
Alten,2000人以上,自动化测试工程师,10k-15k,3-5年,本科,朝阳区,工作氛围好 七险一金 带薪年假
商汤科技,2000人以上,移动端自动化测试工程师,10k-20k,1-3年,不限,海淀区,技术大牛 资源丰富
小米,2000人以上,自动化测试工程师,15k-30k,3-5年,本科,海淀区,优秀团队伙伴、足够发展空间、有竞争力薪酬
达达-京东到家,2000人以上,自动化测试,18k-30k,3-5年,本科,大兴区,新零售，核心团队，福利健全
平安科技,2000人以上,111247-自动化测试工程师,15k-30k,3-5年,本科,朝阳区,"五险一金,带薪年假,节日福利,绩效奖金"
芝麻开花财税(互联网),15-50人,自动化测试工程师,8k-12k,3-5年,本科,海淀区,"财税领域,智能互联,自动化"
高思教育集团,2000人以上,自动化测试工程师,15k-25k,3-5年,本科,海淀区,六险一金，周末双休，绩效奖金，技术驱动
Game.com,15-50人,自动化测试主管,15k-25k,1-3年,本科,朝阳区,"团队氛围好,进步空间大,项目有发展,测试负责人"
360os,500-2000人,自动化测试工程师,15k-30k,3-5年,本科,朝阳区,"发展快,领导好"
蔷薇信息技术,150-500人,自动化测试工程师,15k-25k,3-5年,本科,朝阳区,"股东背景强,薪资优渥,技术大牛多,工作环境好"
好未来,2000人以上,移动端自动化测试工程师,15k-30k,3-5年,本科,海淀区,"扁平化管理,技术大拿"
美团点评,2000人以上,资深自动化测试工程师,35k-45k,3-5年,本科,朝阳区,"五险一金,带薪年假,超值期权,大牛团队"
长亭科技,150-500人,高级自动化测试工程师,15k-25k,1-3年,本科,海淀区,"带薪年假,工作餐,年底多薪,五险一金"
小牛电动车,500-2000人,自动化测试工程师,15k-22k,3-5年,本科,朝阳区,让城市出现更美好
北京八维研修学院,2000人以上,自动化测试,15k-20k,3-5年,本科,海淀区,五险一金，寒假，房补，饭补，节日福利
The ONE,500-2000人,自动化测试,15k-25k,3-5年,本科,朝阳区,"五险一金,交通补助,午晚餐，年终奖"
北京瑞友,2000人以上,自动化测试-lc,10k-20k,3-5年,本科,海淀区,"五险一金,带薪年假"
思必驰科技,150-500人,自动化测试开发工程师,20k-40k,不限,本科,海淀区,快速发展的人工智能公司，产品方向非常清晰
用友,2000人以上,自动化测试开发工程师,16k-30k,3-5年,本科,海淀区,上市企业
百融金服,500-2000人,自动化测试工程师,10k-20k,3-5年,本科,海淀区,"五险一金,弹性工作,福利多多"
搜狗,2000人以上,商业搜索广告-高级自动化测试工程师,20k-30k,3-5年,本科,海淀区,业界测试牛人、浓厚技术氛围、部门核心业务
商汤科技,2000人以上,移动自动化测试工程师,25k-40k,3-5年,本科,海淀区,"大牛多,氛围好,发展快"
畅捷支付,150-500人,自动化测试工程师,10k-15k,3-5年,本科,海淀区,六险一金 14薪
乐智才云,150-500人,自动化测试工程师,8k-9k,应届毕业生,本科,东城区,福利待遇好
泰迪熊,150-500人,自动化测试工程师,8k-15k,1-3年,本科,朝阳区,"16薪,弹性打卡,超长年假，免费自助餐"
好未来,2000人以上,自动化测试构架师,40k-80k,5-10年,本科,海淀区,"上市公司,升职空间大"
百融金服,500-2000人,高级自动化测试工程师,15k-25k,5-10年,本科,海淀区,"六险一金,弹性工作,福利多多"
蔷薇控股,150-500人,自动化测试架构师,30k-45k,5-10年,本科,朝阳区,"股东背景强,薪资优渥,技术大牛多,工作环境好"
声智科技,150-500人,自动化测试,15k-25k,3-5年,本科,海淀区,"人工智能,股票期权,五险一金,交通补助"
玩吧,150-500人,自动化测试,15k-25k,5-10年,本科,东城区,七险一金、弹性不打卡、免费午餐、季度旅游
首汽约车,2000人以上,自动化测试工程师,20k-35k,3-5年,本科,朝阳区,"年底双薪,晋升空间大,工作氛围好"
云智汇,15-50人,自动化测试,10k-20k,3-5年,本科,朝阳区,"地铁近,中午工作餐,年轻化团队"
自由职客,50-150人,自动化测试工程师,14k-28k,5-10年,不限,海淀区,"薪资高,用工灵活"
必要商城,150-500人,自动化测试工程师,15k-30k,5-10年,本科,朝阳区,"盈利平台,首家C2M,技术分享,活跃团队"
米图维,15-50人,自动化测试工程师,8k-9k,应届毕业生,本科,东城区,福利待遇好，领导好
小米,2000人以上,自动化测试,10k-20k,3-5年,本科,海淀区,成长空间大
策炬网络,15-50人,高级服务端性能测试/自动化测试,25k-50k,3-5年,不限,朝阳区,66 键盘
考拉阅读,150-500人,自动化测试工程师（做过APP）,10k-18k,1-3年,本科,海淀区,"扁平化,空间足,大牛多,上升快"
哗啦啦,500-2000人,自动化测试工程师,15k-25k,1-3年,本科,西城区,五险一金 年终奖金 带薪年假 节日福利
美团点评,2000人以上,移动端自动化测试开发,18k-35k,不限,本科,朝阳区,"领导棒,乐于培养,美女如云"
好未来,2000人以上,自动化测试架构师,40k-80k,5-10年,本科,海淀区,"上市公司,升职空间大"
PICA8,50-150人,自动化测试,9k-18k,1-3年,本科,海淀区,五险一金股票期权带薪年假年底双薪领导好
瞻世趣,50-150人,自动化测试工程师,8k-15k,1-3年,大专,丰台区,"人性化管理,弹性工作制,提供饮品"
everbridge,500-2000人,高级自动化测试工程师（测试开发方向）,18k-23k,3-5年,本科,东城区,"上市外企,弹性工作制,和谐团队,美国交流"
极智嘉,500-2000人,系统研发部-自动化测试,15k-25k,3-5年,本科,朝阳区,"发展迅速,快速成长,人工智能"
Chope,150-500人,自动化测试开发工程师,8k-16k,3-5年,本科,海淀区,"出国旅游,六险一金,年终奖,绩效"
联科,50-150人,自动化测试工程师,10k-15k,1-3年,本科,海淀区,餐补 带薪年假 员工旅游 节日福利
杭州品联,150-500人,自动化测试,10k-15k,3-5年,本科,西城区,"公司福利好,有晋升空间,工作环境好"
普元,500-2000人,资深自动化测试工程师（外派岗位）,15k-20k,5-10年,大专,朝阳区,六险一金 绩效奖金 前沿技术
爱云校,500-2000人,自动化测试,15k-30k,3-5年,本科,朝阳区,"带薪年假,五险一金,饭补"
Udesk－企业级智能客服平台,150-500人,自动化测试,15k-25k,3-5年,本科,西城区,"高成长,团队强悍"
GoFun,500-2000人,自动化测试工程师,20k-30k,5-10年,本科,朝阳区,"发展前景好,平台稳定,领导好,互联网文化"
多点在线,150-500人,自动化测试工程师,15k-25k,3-5年,本科,海淀区,"技术大牛,气氛活跃,福利多多,弹性工作"
阳光公采,50-150人,自动化测试工程师,10k-20k,3-5年,本科,西城区,"弹性时间,节假日福利,奖金,各种活动"
unisonservice,50-150人,自动化测试工程师,9k-12k,1-3年,本科,海淀区,14薪资带薪年假
好未来,2000人以上,自动化测试架构师,40k-60k,5-10年,本科,海淀区,上市公司
金证股份,2000人以上,自动化测试工程师,10k-11k,3-5年,本科,西城区,"五险一金,年度旅游,年度意见"
嘀嗒出行,150-500人,自动化测试,8k-15k,1-3年,本科,朝阳区,福利第一 老板好
Dilato,150-500人,Web自动化测试工程师-海外项目,9k-12k,3-5年,本科,西城区,"敏捷项目,技术先进,氛围轻松,扁平管理"
科码先锋,150-500人,高级自动化测试工程师,20k-30k,5-10年,本科,朝阳区,"五险一金,周末双休,弹性工作,年底双薪"
鹏润控股集团,500-2000人,自动化测试,15k-30k,应届毕业生,不限,海淀区,16薪 核心项目
尖椒教育点评,50-150人,自动化测试,10k-20k,3-5年,本科,海淀区,"领导好,年终奖,气氛好,双休"
搜狐集团,2000人以上,移动自动化测试工程师,8k-15k,不限,本科,海淀区,弹性工作
蓝涟科技,15-50人,自动化测试,7k-10k,1-3年,不限,朝阳区,五险一金；带薪年假；下午茶；
everbridge,500-2000人,自动化测试工程师(CICD),20k-35k,5-10年,本科,东城区,"弹性工作制,上市外企,六险一金,美国交流"
翼辉信息,150-500人,自动化测试开发工程师,8k-15k,不限,本科,海淀区,"弹性工作,午餐补贴,交通补贴,团队活动"
世纪佳缘,500-2000人,iOS自动化测试,10k-20k,1-3年,本科,朝阳区,"成熟团队,上升空间,五险一金,补充医疗"
蔷薇信息技术,150-500人,自动化测试架构师,30k-45k,5-10年,本科,朝阳区,"股东背景强,薪资优渥,技术大牛多,工作环境好"
The ONE,500-2000人,自动化测试实习生,3k-6k,应届毕业生,本科,朝阳区,"免费午晚餐,弹性工作制,交补"
悠易,150-500人,高级测试工程师 自动化测试 性能测试 功能测试,15k-25k,3-5年,本科,朝阳区,"技术大牛,期权激励,海外年会,奖金饭补"
FreeWheel,500-2000人,自动化测试Lead,20k-38k,5-10年,本科,朝阳区,"美资互联网,硅谷文化,英文环境"
新浪微博,2000人以上,自动化测试工程师（微博搜索后端接口）,20k-35k,不限,本科,海淀区,"测试开发,pytho,自动化测试,shell"
北京联合永道软件股份有限公司,500-2000人,前端自动化测试,10k-20k,1-3年,不限,顺义区,"大型央企,公租房,福利好,技术提升"
哗啦啦,500-2000人,java自动化测试工程师,15k-25k,1-3年,本科,西城区,五险一金 年终奖金 带薪年假 节日福利
