所在城市,评论者性别,评论者昵称,猫眼等级,评分,评论日期,评论内容,城市
威海,"('',)",qicheng5530,4,0.5,2018-12-31 21:09:29,辣鸡啊，我从头就开始困，我能看得懂冯导的我不是潘金莲，却看不懂这烂片，我这个南开中文系的愧对学业啊,威海
乐清,"(1,)",球球,2,0.5,2018-12-31 21:09:27,看都看不懂。,乐清
义乌,"('',)",佰沐轩,2,0.5,2018-12-31 21:09:25,史上最垃圾的电影🎬,义乌
京山,"('',)",一抹皓辰,2,0.5,2018-12-31 21:09:24,非常非常非常不好看   浪费感情   最不好看的电影没有之一！,京山
赤峰,"(2,)",i.weiwei,2,1.5,2018-12-31 21:09:23,不知道看了什么,赤峰
兴城,"(1,)",ZmC626700747,3,5.0,2018-12-31 21:09:23,这部电影太完美了，我三年睡不着觉，自从看了这个，我再也不想醒来了.,兴城
北京,"('',)",Abz115109912,4,1.0,2018-12-31 21:09:22,《地球最后的夜晚》！！！好几年没看这么垃圾的电影了！上次被电影恶心到还是陈凯歌的《道士下山》！这部电影的恶心程度可能超过了之前看过所有烂片之和！,北京
上海,"('',)",BYB167500235,2,0.5,2018-12-31 21:09:21,电影很好看  剧情很好  说电影烂的  麻烦你们用心看好么  支持       说完了  去哪领盒饭😁,上海
中江县,"('',)",狒狒猫FQM,1,0.5,2018-12-31 21:09:21,其实一个小时了我都不知道在看什么，而且我还睡了半小时,中江县
荆州,"(2,)",缘君123,2,0.5,2018-12-31 21:09:20,一分都不想给，垃圾太垃圾了，完全是在侮辱广大影迷们的智商,荆州
即墨,"(2,)",阳光的味道963,2,0.5,2018-12-31 21:09:18,垃圾电影 耽误时间,即墨
泊头市,"('',)",暗里着迷bOsS,2,1.0,2018-12-31 21:09:18,电影还没看呢，看完评论，我刚停好的奥拓就又启动了！,泊头市
桂林,"('',)",Benjamin家明哥,3,0.5,2018-12-31 21:09:14,难看到看不懂，电影结束这是我后面那位女生起身时的评价。我TMD想说看的头晕恶心。什么还三D? 也没有烧脑，一步电影时间都花在慢腾腾的街景阴暗潮湿肮脏和一群神经病，那是梦景还是穿越？2000年就有电动车了还是小演员不会开摩托车？,桂林
诸暨,"(1,)",清晨旅客,2,0.5,2018-12-31 21:09:12,不好看，不推荐观看,诸暨
溧阳,"(2,)",周周zf,3,0.5,2018-12-31 21:09:12,难看，影响我睡觉,溧阳
重庆,"(2,)",乱人心717,1,0.5,2018-12-31 21:09:09,一点也不好看，看了20分钟就走了很多人，超烂的片，根本看不懂剧情是啥，太垃圾了，啰嗦，说是3D其实就是2D,重庆
郑州,"('',)",_qqxnt1437483810,3,0.5,2018-12-31 21:09:08,真心无聊，不知道怎么看下去,郑州
